[2025-12-07 21:04:47] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:50] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:53] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:06:48] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:06:51] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:06:54] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:06:57] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:00] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:03] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:06] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:09] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:12] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:13] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:14] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:14] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:14] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:14] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:14] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:14] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:15] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:15] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:15] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:15] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:15] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:15] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:16] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:16] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:16] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:16] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:18] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:21] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:24] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:27] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:30] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:33] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
